articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
-2001,0.34,0.34,mean,0,MATCH,NA
-2001,0.43,0.43,sd,0,MATCH,NA
-2001,0.3,0.3,mean,0,MATCH,NA
-2001,1.09,1.09,sd,0,MATCH,NA
-2001,7.18,7.18,mean,0,MATCH,NA
-2001,2.07,2.07,sd,0,MATCH,NA
-2001,6.69,6.69,mean,0,MATCH,NA
-2001,2.06,2.06,sd,0,MATCH,NA
-2001,0.03,0.03,mean,0,MATCH,NA
-2001,0.03,0.03,sd,0,MATCH,NA
-2001,0.03,0.05,r,66.66666666666669,MAJOR_ERROR,NA
-2001,-0.05,-0.04,ci,20.000000000000004,MAJOR_ERROR,NA
-2001,0.12,0.13,ci,8.333333333333341,MINOR_ERROR,NA
-2001,-0.01,-0,r,100,MAJOR_ERROR,NA
-2001,-0.09,-0.09,ci,0,MATCH,NA
-2001,0.08,0.08,ci,0,MATCH,NA
-2001,-0.01,-0.01,r,0,MATCH,NA
-2001,-0.1,-0.1,ci,0,MATCH,NA
-2001,0.07,0.07,ci,0,MATCH,NA
-2001,-0.03,-0.02,r,33.33333333333333,MAJOR_ERROR,NA
-2001,-0.11,-0.1,ci,9.090909090909086,MINOR_ERROR,NA
-2001,0.06,0.07,ci,16.666666666666682,MAJOR_ERROR,NA
-2001,0,0.03,r,Inf,MAJOR_ERROR,NA
-2001,-0.09,-0.05,ci,44.44444444444444,MAJOR_ERROR,NA
-2001,0.08,0.12,ci,49.999999999999986,MAJOR_ERROR,NA
-2001,0.17,0.17,r,0,MATCH,NA
-2001,0.08,0.09,ci,12.499999999999993,MAJOR_ERROR,NA
-2001,0.25,0.25,ci,0,MATCH,NA
-2001,-0.06,-0.06,r,0,MATCH,NA
-2001,-0.15,-0.14,ci,6.666666666666654,MINOR_ERROR,NA
-2001,0.02,0.03,ci,49.999999999999986,MAJOR_ERROR,NA
-2001,0.08,0.1,r,25.000000000000007,MAJOR_ERROR,NA
-2001,-0.01,0.01,ci,200,MAJOR_ERROR,NA
-2001,0.17,0.18,ci,5.8823529411764595,MINOR_ERROR,NA
-2001,0.66,0.63,r,4.545454545454549,MINOR_ERROR,NA
-2001,0.61,0.57,ci,6.557377049180333,MINOR_ERROR,NA
-2001,0.71,0.68,ci,4.2253521126760445,MINOR_ERROR,NA
-2001,-0.33,-0.33,r,0,MATCH,NA
-2001,-0.41,-0.41,ci,0,MATCH,NA
-2001,-0.25,-0.25,ci,0,MATCH,NA
-2001,0.25,0.26,r,4.0000000000000036,MINOR_ERROR,NA
-2001,0.17,0.18,ci,5.8823529411764595,MINOR_ERROR,NA
-2001,0.33,0.33,ci,0,MATCH,NA
-2001,0.81,0.8,r,1.234567901234569,MINOR_ERROR,NA
-2001,0.77,0.77,ci,0,MATCH,NA
-2001,0.84,0.83,ci,1.1904761904761916,MINOR_ERROR,NA
-2001,0.65,0.65,r,0,MATCH,NA
-2001,0.59,0.59,ci,0,MATCH,NA
-2001,0.7,0.69,ci,1.42857142857143,MINOR_ERROR,NA
-2001,-0.37,-0.35,r,5.405405405405411,MINOR_ERROR,NA
-2001,-0.44,-0.42,ci,4.545454545454549,MINOR_ERROR,NA
-2001,-0.29,-0.27,ci,6.896551724137918,MINOR_ERROR,NA
-2001,0.32,0.34,r,6.250000000000005,MINOR_ERROR,NA
-2001,0.24,0.26,ci,8.333333333333341,MINOR_ERROR,NA
-2001,0.39,0.41,ci,5.128205128205118,MINOR_ERROR,NA
